state,color,party,shelter,partial,reopen
Alabama,R,Republican,4/4/20,4/30/20,NA
Alaska,R,Republican,3/28/20,4/24/20,NA
Arizona,R,Republican,3/31/20,5/4/20,NA
Arkansas,R,Republican,NA,4/30/20,5/5/20
California,B,Democrat,3/19/20,5/8/20,NA
Colorado,B,Democrat,3/26/20,4/27/20,NA
Connecticut,B,Democrat,3/23/20,5/20/20,NA
Delaware,B,Democrat,3/24/20,5/8/20,NA
D.C.,B,Democrat,4/1/20,6/8/20,NA
Florida,R,Republican,4/3/20,5/4/20,NA
Georgia,R,Republican,4/3/20,4/29/20,4/30/20
Hawaii,B,Democrat,3/25/20,4/30/20,NA
Idaho,R,Republican,3/25/20,5/1/20,NA
Illinois,B,Democrat,3/21/20,5/1/20,NA
Indiana,R,Republican,3/24/20,5/4/20,NA
Iowa,R,Republican,NA,5/1/20,5/15/20
Kansas,R,Republican,3/30/20,5/4/20,NA
Kentucky,R,Republican,3/26/20,5/11/20,NA
Louisiana,R,Republican,3/23/20,5/1/20,NA
Maine,B,Democrat,4/2/20,5/1/20,NA
Maryland,B,Democrat,3/30/20,5/7/20,NA
Massachusetts,B,Democrat,3/24/20,NA,NA
Michigan,R,Republican,3/24/20,5/7/20,NA
Minnesota,B,Democrat,3/25/20,5/4/20,NA
Mississippi,R,Republican,4/3/20,4/27/20,NA
Missouri,R,Republican,4/6/20,NA,5/4/20
Montana,R,Republican,3/28/20,NA,4/27/20
Nebraska,R,Republican,NA,5/4/20,6/1/20
Nevada,B,Democrat,4/1/20,5/15/20,NA
New Hampshire,B,Democrat,3/27/20,5/11/20,NA
New Jersey,B,Democrat,3/21/20,5/2/20,NA
New Mexico,B,Democrat,3/24/20,5/1/20,NA
New York,B,Democrat,3/22/20,5/15/20,NA
North Carolina,R,Republican,3/30/20,5/8/20,NA
North Dakota,R,Republican,NA,5/1/20,6/1/20
Ohio,R,Republican,3/23/20,5/1/20,NA
Oklahoma,R,Republican,NA,NA,4/24/20
Oregon,B,Democrat,3/23/20,5/15/20,NA
Pennsylvania,R,Republican,4/1/20,5/1/20,NA
Rhode Island,B,Democrat,3/28/20,5/9/20,NA
South Carolina,R,Republican,4/7/20,NA,4/20/20
South Dakota,R,Republican,NA,NA,4/28/20
Tennessee,R,Republican,3/31/20,NA,4/27/20
Texas,R,Republican,4/2/20,NA,5/1/20
Utah,R,Republican,NA,5/1/20,5/16/20
Vermont,B,Democrat,3/25/20,5/15/20,NA
Virginia,B,Democrat,3/25/20,6/10/20,NA
Washington,B,Democrat,3/23/20,5/5/20,NA
West Virginia,R,Republican,3/24/20,4/30/20,NA
Wisconsin,R,Republican,3/25/20,5/1/20,NA
Wyoming,R,Republican,NA,5/1/20,5/15/20